episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
87,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,110.78,37.33,2.58,0.67,0.0,100.0,0.0,0.06
88,71.19,0.0,100.0,5.22,69.86,4.22,65.58,0.05,122.98,38.41,2.17,0.51,77.0,23.0,0.0,0.06
89,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,93.82,10.47,6.49,0.67,100.0,0.0,0.0,0.07
90,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,74.76,34.38,0.85,0.67,0.0,0.0,100.0,0.07
91,53.93,0.0,100.0,16.0,111.12,10.0,101.0,0.12,99.1,36.23,1.88,0.67,0.0,0.0,100.0,0.06
92,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,75.69,34.22,1.12,0.67,100.0,0.0,0.0,0.07
93,72.35,0.0,100.0,1.3,67.08,1.4,65.62,0.06,101.99,31.47,2.53,0.53,21.0,79.0,0.0,0.07
94,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,150.77,38.65,3.34,0.67,100.0,0.0,0.0,0.06
95,55.0,0.0,100.0,8.0,108.55,7.5,101.0,0.05,116.29,46.36,3.48,0.67,100.0,0.0,0.0,0.06
96,74.05,0.0,100.0,12.96,63.02,9.05,53.88,0.09,100.96,27.1,2.6,0.41,0.0,38.0,62.0,0.06
97,63.48,0.0,100.0,7.23,88.28,6.79,81.42,0.07,65.09,9.38,3.22,0.59,0.0,89.0,11.0,0.06
98,56.05,0.0,100.0,4.0,106.05,5.0,101.0,0.05,44.38,7.18,8.34,0.67,0.0,100.0,0.0,0.07
99,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,117.43,45.33,3.49,0.67,100.0,0.0,0.0,0.07
100,75.1,0.0,100.0,3.01,60.52,3.68,56.78,0.06,71.64,31.22,2.27,0.67,100.0,0.0,0.0,0.06
