episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
97,82.72,0.02,98,30.2,34.18,7.08,27.1,0.47,0.24,0.93,0.4,-0.41,0.19,2.58,2.04,2.56,7.18,0.14,0.17
98,74.3,0.01,99,6.3,37.67,4.03,33.64,0.61,0.05,-0.0,0.5,-0.0,-0.29,2.36,1.68,2.4,6.44,0.31,0.17
99,84.73,0.0,100,6.52,30.68,3.71,26.98,0.26,0.56,3.45,0.25,-1.2,1.03,2.93,2.32,2.9,8.15,0.1,0.17
100,80.68,0.02,98,35.35,33.82,8.15,25.67,0.12,0.76,3.79,0.16,-1.61,1.55,3.37,2.54,3.54,9.45,0.04,0.15
101,73.48,0.07,93,28.69,32.61,7.32,25.29,0.35,0.44,2.78,0.31,-1.03,0.83,2.74,2.14,2.75,7.63,0.11,0.13
102,81.04,0.02,98,7.41,30.21,3.89,26.33,0.28,0.52,3.62,0.26,-1.15,0.97,2.91,2.38,2.97,8.26,0.1,0.14
103,83.64,0.0,100,20.18,32.83,5.96,26.86,0.49,0.22,0.67,0.41,-0.48,0.29,2.52,1.91,2.61,7.04,0.1,0.81
104,72.28,0.03,97,26.4,35.35,6.05,29.3,0.3,0.5,3.49,0.27,-1.14,0.72,2.91,2.28,2.99,8.18,0.21,0.14
105,75.75,0.02,98,15.22,34.45,5.67,28.78,0.53,0.09,-0.1,0.45,0.06,-0.08,2.62,2.05,2.58,7.26,0.19,0.13
106,82.39,0.02,98,9.02,31.15,4.95,26.2,0.62,0.03,0.07,0.49,-0.08,-0.1,2.14,1.68,2.29,6.11,0.09,0.16
107,77.21,0.0,100,24.03,37.51,7.01,30.5,0.43,0.32,1.58,0.36,-0.74,0.52,2.68,2.08,2.73,7.49,0.24,0.17
108,86.17,0.01,99,18.59,30.11,4.11,26.0,0.55,0.08,-0.06,0.46,0.01,-0.15,2.48,2.03,2.48,6.99,0.05,0.14
109,82.31,0.01,99,21.41,31.08,4.97,26.1,0.4,0.32,2.46,0.35,-0.55,0.33,2.66,2.05,2.61,7.31,0.06,0.13
110,82.83,0.0,100,22.72,32.58,5.26,27.32,0.5,0.24,1.06,0.41,-0.61,0.47,2.47,1.93,2.47,6.87,0.12,0.15
111,80.83,0.02,98,35.1,35.35,8.6,26.76,0.42,0.32,2.5,0.35,-0.72,0.46,2.57,2.0,2.74,7.32,0.12,0.13
112,81.87,0.02,98,31.61,32.27,6.35,25.92,0.47,0.26,1.35,0.39,-0.58,0.46,2.51,2.03,2.51,7.05,0.07,0.15
113,74.24,0.01,99,3.76,35.35,2.55,32.81,0.45,0.27,1.53,0.38,-0.54,0.45,2.42,1.86,2.6,6.88,0.29,0.18
114,77.9,0.03,97,36.62,34.6,8.64,25.96,0.56,0.08,-0.05,0.47,0.04,-0.11,2.39,1.84,2.43,6.67,0.09,0.16
115,81.21,0.0,100,4.94,31.5,3.17,28.34,0.41,0.32,2.02,0.35,-0.69,0.37,2.67,1.93,2.83,7.43,0.15,0.17
116,79.75,0.01,99,23.06,34.8,4.76,30.04,0.01,0.94,5.58,0.07,-2.09,1.86,3.46,2.81,3.66,9.93,0.23,0.14
117,83.38,0.0,100,6.88,32.7,4.36,28.34,0.43,0.31,2.12,0.36,-0.71,0.32,2.76,2.13,2.74,7.63,0.16,0.13
118,72.21,0.02,98,15.1,37.07,6.05,31.02,0.62,0.04,-0.06,0.5,-0.06,-0.18,2.38,1.8,2.2,6.38,0.26,0.17
119,77.42,0.01,99,27.68,35.27,6.76,28.51,0.49,0.24,1.34,0.4,-0.58,0.32,2.46,2.03,2.61,7.1,0.18,0.15
120,84.07,0.0,100,24.4,33.4,6.5,26.9,0.55,0.09,-0.04,0.46,0.02,-0.09,2.53,2.07,2.48,7.08,0.1,0.14
121,73.01,0.0,100,26.55,39.08,6.42,32.66,0.32,0.44,1.57,0.29,-0.84,0.69,3.13,2.53,3.26,8.92,0.28,0.15
122,82.45,0.01,99,12.53,33.31,5.01,28.3,0.62,0.03,0.04,0.5,-0.09,-0.15,2.18,1.66,2.46,6.3,0.16,0.13
123,86.07,0.0,100,14.82,32.24,5.44,26.8,0.3,0.49,2.75,0.27,-1.06,0.99,2.96,2.36,2.93,8.25,0.1,1.33
124,70.73,0.02,98,13.65,39.91,6.73,33.18,0.56,0.08,-0.03,0.47,-0.05,-0.05,2.51,2.0,2.5,7.01,0.29,0.29
125,83.55,0.01,99,21.19,33.37,6.44,26.93,0.39,0.31,1.06,0.35,-0.48,0.41,2.78,2.12,2.86,7.76,0.12,0.17
126,77.85,0.0,100,42.4,38.16,7.96,30.2,0.45,0.27,1.63,0.37,-0.54,0.27,2.88,2.37,2.92,8.17,0.21,0.13
127,74.57,0.03,97,19.74,33.44,5.59,27.86,0.45,0.24,1.29,0.38,-0.45,0.31,2.63,2.17,2.72,7.53,0.15,0.16
128,79.71,0.0,100,13.04,32.9,5.44,27.46,0.47,0.25,1.27,0.39,-0.5,0.23,2.63,1.93,2.72,7.28,0.14,0.16
129,81.89,0.01,99,35.27,34.99,7.64,27.35,0.29,0.52,2.78,0.27,-1.12,1.1,2.94,2.38,3.0,8.32,0.14,0.2
130,71.97,0.02,98,27.14,35.13,5.44,29.69,0.59,0.06,0.05,0.48,-0.03,-0.16,2.34,1.76,2.45,6.54,0.23,0.19
131,76.6,0.0,100,17.08,38.45,4.09,34.36,0.59,0.05,0.0,0.48,-0.02,-0.18,2.41,1.73,2.46,6.6,0.32,0.2
132,69.49,0.01,99,38.47,45.15,7.92,37.23,0.64,0.03,0.03,0.51,-0.1,-0.19,2.22,1.62,2.23,6.07,0.36,0.15
133,71.39,0.02,98,28.14,35.46,5.77,29.69,0.46,0.28,2.26,0.37,-0.75,0.46,2.53,2.01,2.64,7.18,0.22,0.14
134,79.63,0.0,100,19.12,36.76,7.39,29.36,0.34,0.43,1.42,0.31,-0.8,0.74,3.01,2.28,3.07,8.36,0.2,0.19
135,76.84,0.0,100,2.77,34.62,1.89,32.74,0.17,0.7,4.19,0.18,-1.54,1.17,3.17,2.41,3.29,8.87,0.29,0.25
136,80.89,0.0,100,4.92,34.92,3.19,31.74,0.25,0.56,2.5,0.24,-1.12,1.18,3.12,2.55,3.18,8.85,0.24,0.34
137,76.23,0.01,99,17.51,36.94,6.01,30.93,0.56,0.07,-0.11,0.47,0.01,-0.15,2.43,1.87,2.31,6.62,0.24,0.29
138,81.97,0.01,99,8.93,32.6,4.86,27.74,0.09,0.81,5.93,0.12,-1.84,1.46,3.33,2.67,3.5,9.49,0.14,0.32
139,79.6,0.01,99,27.23,34.86,6.41,28.44,0.16,0.68,4.62,0.18,-1.45,1.16,3.2,2.68,3.39,9.27,0.18,0.23
140,81.12,0.0,100,24.48,34.38,5.88,28.5,0.28,0.51,4.44,0.25,-1.21,0.8,2.84,2.28,2.92,8.04,0.16,0.23
141,71.03,0.02,98,23.06,37.2,6.83,30.37,0.6,0.04,-0.03,0.48,-0.09,-0.09,2.29,1.7,2.26,6.24,0.24,0.17
142,77.03,0.0,100,13.5,37.28,5.67,31.62,0.31,0.46,3.02,0.28,-0.93,0.74,2.91,2.21,3.1,8.22,0.24,0.16
143,72.93,0.01,99,17.54,39.87,7.15,32.73,0.35,0.43,1.95,0.31,-0.91,0.9,2.77,2.2,2.87,7.84,0.3,0.16
144,79.56,0.01,99,15.31,32.94,4.92,28.02,0.18,0.71,3.8,0.19,-1.58,1.28,3.21,2.54,3.29,9.04,0.16,0.9
