episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
83,50.04,0.05,95,15.21,3707.28,7.16,3700.13,0.03,-0.6,0.08,0.09,-0.08,-0.1,0.27,0.58,0.37,0.42,0.63,0.14
84,62.18,0.05,95,2.67,3682.34,1.84,3680.51,-1.04,3.11,2.06,-0.61,-0.85,0.53,0.48,0.55,0.3,0.48,0.54,0.14
85,47.52,0.05,95,25.52,3803.5,5.06,3798.44,-1.41,5.1,3.23,-0.87,-1.45,1.63,0.77,0.82,0.15,0.5,0.53,0.13
86,59.64,0.0,100,4.6,3847.69,2.95,3844.74,-2.02,7.39,6.11,-1.33,-2.09,1.69,1.0,1.0,0.0,0.5,0.75,0.13
87,68.15,0.03,97,11.63,3902.82,5.03,3897.79,-0.9,2.71,2.89,-0.54,-0.82,0.51,0.47,0.61,0.24,0.48,0.37,0.17
88,56.17,0.04,96,7.12,3873.55,3.8,3869.75,0.04,-0.62,0.07,0.1,-0.08,-0.19,0.24,0.59,0.45,0.46,0.63,0.12
89,71.38,0.04,96,6.44,3959.11,4.09,3955.02,-0.63,1.85,2.03,-0.38,-0.69,0.45,0.44,0.69,0.31,0.48,0.31,0.14
90,72.13,0.01,99,2.42,3897.43,1.71,3895.72,-0.72,2.32,2.85,-0.44,-0.84,0.61,0.52,0.77,0.28,0.48,0.46,0.15
91,70.84,0.02,98,13.92,4043.53,5.63,4037.9,-0.93,3.08,1.87,-0.56,-0.95,0.82,0.47,0.74,0.22,0.49,0.34,0.13
92,64.54,0.0,100,11.08,4117.24,3.77,4113.48,-1.2,4.29,3.94,-0.77,-1.33,1.02,0.78,0.89,0.18,0.48,0.56,0.12
93,43.44,0.05,95,33.13,4108.78,7.05,4101.73,-0.96,3.29,2.58,-0.59,-1.06,0.77,0.58,0.81,0.21,0.48,0.43,0.13
94,63.5,0.03,97,10.95,4197.23,4.2,4193.03,-0.51,1.1,0.9,-0.27,-0.4,0.28,0.27,0.52,0.35,0.46,0.46,0.13
