episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
101,52.8,0.0,100,27.96,4684.37,7.35,4677.02,-0.07,1.07,1.37,0.22,-0.08,0.11,0.32,0.5,0.45,0.47,0.15,0.13
102,52.2,0.0,100,6.88,4795.94,3.66,4792.28,-0.09,1.03,1.93,0.21,-0.04,0.08,0.29,0.45,0.51,0.48,0.1,0.13
103,51.93,0.0,100,22.12,4831.62,6.12,4825.5,-0.45,2.45,2.27,-0.03,-0.39,0.43,0.43,0.52,0.39,0.48,0.15,0.79
104,52.2,0.0,100,18.64,4810.67,5.41,4805.26,-0.09,1.25,1.24,0.22,-0.11,0.11,0.32,0.52,0.48,0.48,0.16,0.14
105,47.27,0.02,98,18.16,4890.78,6.69,4884.08,-0.24,1.31,1.22,0.06,-0.23,0.15,0.32,0.49,0.49,0.5,0.11,0.14
106,51.33,0.0,100,9.88,4919.77,5.37,4914.4,-0.52,2.39,2.24,-0.11,-0.41,0.46,0.47,0.48,0.44,0.49,0.19,0.13
107,51.0,0.01,99,20.56,4999.11,6.5,4992.61,-0.39,1.41,1.75,-0.11,-0.36,0.26,0.34,0.56,0.37,0.48,0.19,0.14
108,54.0,0.0,100,23.46,5085.62,4.8,5080.82,-0.54,2.27,1.75,-0.15,-0.47,0.36,0.45,0.53,0.39,0.46,0.14,0.12
109,53.93,0.0,100,15.48,5010.94,4.91,5006.04,-0.12,0.46,0.35,0.14,0.06,-0.14,0.21,0.33,0.49,0.46,0.36,0.13
110,52.07,0.0,100,18.08,5159.0,4.47,5154.52,-0.31,1.64,1.53,0.04,-0.23,0.26,0.33,0.44,0.47,0.48,0.06,0.12
111,53.8,0.0,100,34.72,5214.41,8.55,5205.86,-0.34,1.54,2.0,-0.01,-0.24,0.15,0.36,0.49,0.44,0.46,0.08,0.13
112,50.2,0.01,99,33.43,5276.16,6.7,5269.45,-0.51,2.29,2.43,-0.11,-0.42,0.4,0.4,0.52,0.41,0.48,0.12,0.12
113,53.73,0.0,100,3.77,5359.5,2.56,5356.94,-0.58,2.25,1.78,-0.24,-0.6,0.53,0.49,0.63,0.39,0.46,0.26,0.13
114,52.87,0.0,100,37.76,5345.92,8.71,5337.2,-0.37,1.9,2.08,-0.02,-0.34,0.26,0.43,0.54,0.38,0.47,0.08,0.13
115,52.67,0.0,100,5.72,5401.38,3.62,5397.76,-0.32,1.63,2.21,-0.02,-0.35,0.29,0.4,0.52,0.4,0.47,0.1,0.12
116,50.73,0.01,99,22.18,5484.46,4.55,5479.92,-0.38,1.85,2.09,-0.06,-0.39,0.32,0.43,0.54,0.41,0.48,0.11,0.13
117,52.73,0.0,100,7.02,5486.16,4.44,5481.72,-0.18,1.72,1.66,0.22,-0.06,0.09,0.42,0.38,0.53,0.47,0.16,0.14
118,53.47,0.0,100,14.52,5540.96,5.79,5535.16,-0.07,1.23,0.94,0.25,-0.02,0.2,0.32,0.46,0.43,0.46,0.1,0.14
119,52.47,0.0,100,28.37,5593.9,6.88,5587.02,0.09,0.78,0.19,0.42,0.17,-0.0,0.36,0.37,0.56,0.48,0.16,0.12
120,54.07,0.0,100,27.74,5673.88,6.74,5667.14,-0.13,1.4,1.13,0.2,-0.09,0.2,0.37,0.5,0.44,0.46,0.1,0.13
121,54.2,0.0,100,23.4,5727.23,5.97,5721.26,-0.53,1.94,2.08,-0.21,-0.46,0.31,0.42,0.56,0.36,0.46,0.14,0.13
122,52.4,0.0,100,15.12,5765.09,5.19,5759.9,-0.11,1.45,1.15,0.25,-0.04,0.16,0.33,0.41,0.53,0.48,0.08,0.12
123,51.07,0.01,99,14.1,5800.64,5.13,5795.52,-0.29,1.79,0.56,0.07,-0.27,0.32,0.38,0.55,0.4,0.47,0.04,0.77
124,54.07,0.0,100,11.8,5841.77,5.97,5835.8,-0.03,0.62,0.49,0.25,0.04,0.04,0.28,0.4,0.53,0.46,0.18,0.14
125,52.33,0.0,100,27.04,5911.17,6.81,5904.36,-0.47,1.99,2.05,-0.11,-0.39,0.38,0.44,0.52,0.45,0.48,0.1,0.14
126,52.2,0.0,100,45.25,5921.14,8.28,5912.86,-0.42,2.2,1.94,-0.05,-0.42,0.54,0.46,0.59,0.41,0.48,0.18,0.14
127,51.33,0.01,99,13.91,5987.03,4.22,5982.81,-0.26,1.35,1.16,0.03,-0.23,0.29,0.31,0.52,0.32,0.47,0.14,0.13
128,52.07,0.0,100,13.08,6069.92,5.18,6064.74,-0.27,1.99,1.78,0.1,-0.27,0.39,0.41,0.52,0.38,0.48,0.12,0.13
129,52.13,0.0,100,30.96,6109.94,6.88,6103.06,-0.24,1.5,1.56,0.1,-0.16,0.17,0.42,0.47,0.45,0.48,0.04,0.13
130,47.27,0.03,97,18.97,6165.15,4.27,6160.89,-0.35,1.92,2.43,0.01,-0.28,0.19,0.42,0.52,0.45,0.48,0.1,0.12
131,52.67,0.01,99,26.12,6188.67,5.15,6183.52,-0.0,1.11,1.08,0.3,-0.03,0.16,0.31,0.52,0.46,0.46,0.24,0.13
132,53.67,0.0,100,22.94,6277.96,6.42,6271.54,-0.0,0.87,0.99,0.31,0.11,-0.02,0.27,0.36,0.5,0.46,0.14,0.13
