episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
101,43.22,0.07,93,29.98,33.18,7.46,25.72,0.32,0.5,1.26,0.3,-0.95,1.01,2.86,2.17,2.62,7.66,0.14,0.18
102,80.83,0.06,94,5.81,28.44,3.2,25.23,0.79,0.08,-0.12,0.75,0.74,-0.23,2.11,1.25,1.48,4.84,0.1,0.18
103,57.29,0.05,95,22.69,32.98,6.46,26.53,0.63,0.29,0.62,0.62,0.16,0.38,2.48,1.77,1.8,6.05,0.15,1.69
104,58.33,0.05,95,22,34.51,5.89,28.61,0.63,0.04,0.01,0.51,0.01,0.01,2.07,1.6,1.9,5.57,0.22,0.23
105,71.16,0.03,97,15.84,33.32,5.8,27.53,0.84,0.08,-0.16,0.8,0.9,-0.33,2.1,1.5,1.36,4.96,0.16,0.18
106,79.44,0.04,96,9.24,31.29,5.1,26.19,0.29,0.72,1.67,0.34,-1.08,1.59,3.0,2.23,2.64,7.86,0.11,0.18
107,57.35,0.06,94,21.54,32.27,6.44,25.83,0.27,0.61,2.17,0.27,-1.23,1.58,2.5,1.89,2.62,7.01,0.13,0.18
108,76.3,0.01,99,14.81,32.66,3.59,29.07,0.62,0.24,0.88,0.58,0.09,0.26,2.5,1.75,2.04,6.28,0.2,0.23
109,60.43,0.05,95,20.61,31.14,4.74,26.4,0.56,0.32,0.7,0.55,-0.08,0.38,2.64,1.92,2.15,6.7,0.14,0.26
110,57.95,0.05,95,22.25,32.55,5.14,27.41,0.73,0.06,0.0,0.65,0.42,-0.1,2.18,1.58,1.78,5.54,0.15,0.26
111,47.78,0.02,98,32,35.76,8.43,27.33,0.65,0.04,0.06,0.54,0.08,0.13,1.56,0.91,1.51,3.98,0.15,0.24
112,53.48,0.03,97,27.32,33.68,5.72,27.96,0.52,0.38,0.97,0.5,-0.31,0.64,2.44,1.75,2.15,6.35,0.17,0.23
113,87.08,0.04,96,4.23,36.09,2.82,33.27,0.83,0.21,0.23,0.84,0.9,-0.07,2.31,1.34,1.36,5.02,0.31,0.21
114,43.76,0.05,95,31.66,36.14,8.41,27.73,0.55,0.18,0.26,0.47,-0.22,0.45,2.04,1.4,2.01,5.45,0.2,0.21
115,89.94,0.02,98,4.9,30.69,3.14,27.55,0.38,0.47,1.19,0.34,-0.9,1.35,2.24,1.58,2.36,6.17,0.15,0.18
116,55.81,0.05,95,23.67,31.47,4.76,26.72,0.8,0.07,-0.12,0.76,0.75,-0.23,2.14,1.24,1.41,4.79,0.15,0.2
117,84.0,0.03,97,7.49,35.06,4.71,30.35,0.25,0.64,1.28,0.25,-1.32,1.58,2.74,2.06,2.82,7.63,0.24,0.27
118,72.22,0.02,98,16.29,35.08,6.47,28.61,0.39,0.62,1.98,0.43,-0.72,1.13,3.04,2.21,2.63,7.89,0.19,0.26
119,63.7,0.05,95,18.44,33.63,5.98,27.64,0.64,0.39,0.91,0.67,0.22,0.5,2.6,1.84,2.05,6.5,0.18,0.19
120,57.6,0.05,95,22.48,33.45,6.34,27.12,0.62,0.05,0.07,0.51,0.05,0.04,2.13,1.59,1.98,5.7,0.16,0.18
121,56.89,0.07,93,20.72,32.9,5.59,27.31,0.34,0.46,1.19,0.31,-0.9,1.15,2.74,2.28,2.66,7.68,0.19,0.22
122,69.16,0.05,95,14.82,31.37,5.27,26.11,0.54,0.33,0.39,0.51,-0.2,0.56,2.48,1.9,2.2,6.58,0.11,0.23
123,78.41,0.04,96,9.92,33.42,4.4,29.02,0.23,0.77,1.96,0.28,-1.29,1.67,3.19,2.41,3.04,8.64,0.22,1.89
124,75.05,0.04,96,12.12,35.43,5.91,29.52,0.58,0.37,1.18,0.58,-0.02,0.54,2.62,1.71,1.95,6.27,0.24,0.31
125,67.95,0.05,95,15.62,34.07,5.82,28.25,0.92,0.1,-0.2,0.91,1.21,-0.4,2.23,1.32,1.24,4.79,0.18,0.24
126,44.95,0.04,96,31.88,36.95,7.14,29.81,0.6,0.27,0.51,0.59,0.13,0.19,2.48,1.75,1.95,6.18,0.25,0.26
127,61.84,0.02,98,22.96,36.59,6.35,30.24,0.76,0.21,0.35,0.75,0.66,-0.03,2.15,1.54,1.37,5.06,0.24,0.24
128,77.41,0.01,99,14.1,33.82,5.38,28.44,0.42,0.36,1.01,0.37,-0.68,0.9,2.22,1.64,2.22,6.08,0.18,0.18
129,33.79,0.05,95,38.27,35.74,8.21,27.54,0.87,0.08,-0.17,0.84,0.95,-0.27,1.96,1.13,1.18,4.26,0.17,0.21
130,73.24,0.0,100,17.86,33.72,4.67,29.06,0.77,0.05,-0.05,0.69,0.47,0.0,1.71,0.97,1.33,4.01,0.2,0.24
131,85.29,0.02,98,7.89,37.12,2.84,34.29,0.45,0.55,1.48,0.48,-0.51,0.97,2.76,2.02,2.35,7.13,0.32,0.22
132,64.46,0.01,99,22.34,34.06,5.94,28.12,0.82,0.22,0.17,0.82,0.87,-0.06,2.1,1.4,1.26,4.77,0.17,0.26
133,42.89,0.05,95,32.24,37.87,6.06,31.81,0.65,0.14,0.17,0.57,0.03,0.3,1.79,1.14,1.67,4.6,0.28,0.18
134,68.1,0.02,98,18.94,35.4,7.44,27.96,0.5,0.34,1.04,0.45,-0.47,0.72,2.05,1.38,2.03,5.46,0.16,0.22
135,89.49,0.04,96,2.65,31.14,1.82,29.31,0.61,0.3,0.66,0.6,0.11,0.41,2.45,1.8,1.9,6.15,0.23,0.21
136,90.03,0.02,98,4.84,34.11,3.11,31.0,0.55,0.32,0.71,0.51,-0.24,0.71,2.19,1.58,1.94,5.71,0.25,0.19
137,75.11,0.01,99,15.57,35.47,5.47,30.0,0.74,0.07,-0.04,0.67,0.49,-0.15,1.84,1.06,1.52,4.42,0.18,0.19
138,85.51,0.01,99,8.95,32.93,4.85,28.08,0.42,0.41,1.85,0.37,-0.8,0.94,2.33,1.66,2.36,6.35,0.15,0.22
139,64.94,0.03,97,19.88,33.13,5.57,27.57,0.48,0.38,0.94,0.45,-0.47,0.79,2.42,1.76,2.16,6.35,0.17,0.18
140,55.59,0.04,96,24.9,32.15,5.84,26.31,0.43,0.4,0.96,0.38,-0.75,1.03,2.13,1.46,2.21,5.8,0.12,0.27
141,66.68,0.0,100,21.99,35.22,6.36,28.86,0.6,0.15,0.36,0.5,-0.17,0.44,1.51,0.86,1.69,4.06,0.18,0.23
142,75.86,0.01,99,15.09,36.29,5.83,30.46,0.69,0.05,-0.05,0.6,0.27,-0.08,1.95,1.21,1.62,4.78,0.24,0.2
143,69.14,0.04,96,16,35.47,6.57,28.9,0.73,0.21,0.92,0.71,0.47,0.05,2.25,1.34,1.72,5.31,0.21,0.28
144,77.73,0.01,99,13.9,33.43,4.62,28.81,0.32,0.66,1.81,0.35,-0.98,1.42,2.83,2.1,2.68,7.61,0.19,1.72
145,89.56,0.03,97,3.89,31.31,2.63,28.68,0.9,0.1,-0.23,0.9,1.18,-0.41,2.04,1.27,1.09,4.4,0.21,0.22
146,55.03,0.03,97,26.31,34.04,5.07,28.97,0.47,0.34,0.94,0.41,-0.62,0.95,2.07,1.46,2.09,5.63,0.19,0.26
147,66.62,0.0,100,22.03,39.97,6.31,33.66,0.22,0.67,2.75,0.23,-1.41,1.45,2.79,2.08,2.84,7.71,0.28,0.24
148,88.57,0.02,98,5.78,34.53,3.18,31.35,0.29,0.67,2.22,0.32,-1.11,1.43,2.92,2.17,2.83,7.92,0.24,0.28
149,64.46,0.01,99,22.34,37.4,5.53,31.88,0.8,0.06,-0.03,0.73,0.62,-0.1,1.75,1.04,1.54,4.32,0.28,0.26
150,70.98,0.04,96,14.79,33.56,5.18,28.38,0.46,0.51,1.07,0.48,-0.49,0.89,2.75,1.81,2.47,7.03,0.21,0.25
151,53.0,0.04,96,26.59,42.23,6.62,35.6,0.61,0.07,-0.07,0.52,0.15,-0.03,1.99,1.28,1.58,4.85,0.37,0.28
152,72.24,0.01,99,17.39,35.68,6.91,28.77,0.43,0.5,2.01,0.44,-0.56,0.88,2.96,2.28,2.57,7.81,0.19,0.34
153,72.14,0.01,99,17.45,36.47,6.31,30.16,0.53,0.18,0.29,0.45,-0.22,0.33,2.2,1.71,2.02,5.93,0.23,0.34
154,62.05,0.02,98,22.83,39.06,6.16,32.9,0.35,0.48,1.38,0.32,-0.93,1.27,2.65,2.07,2.48,7.2,0.29,0.21
155,59.92,0.04,96,22.05,33.68,6.66,27.02,0.55,0.22,0.26,0.46,-0.38,0.72,1.78,1.15,1.92,4.84,0.14,0.2
156,84.57,0.02,98,8.35,32.76,3.2,29.55,0.84,0.09,-0.13,0.81,0.92,-0.33,2.28,1.52,1.48,5.28,0.22,0.23
157,85.76,0.01,99,8.79,30.95,4.87,26.08,0.78,0.08,-0.11,0.73,0.69,-0.23,2.05,1.33,1.39,4.78,0.06,0.27
158,46.1,0.01,99,34.03,37.64,7.98,29.66,0.46,0.38,1.5,0.42,-0.59,0.81,2.17,1.46,2.11,5.74,0.21,0.23
159,65.48,0.01,99,21.7,35.82,5.56,30.26,0.67,0.06,-0.07,0.59,0.27,-0.1,2.07,1.33,1.61,5.01,0.22,0.2
160,88.24,0.01,99,7.21,36.56,3.69,32.87,0.42,0.48,2.05,0.42,-0.61,0.8,2.82,2.0,2.57,7.38,0.29,0.19
161,76.1,0.03,97,12.63,38.84,4.67,34.16,0.62,0.05,0.01,0.52,0.1,0.04,1.98,1.42,1.69,5.09,0.32,0.18
162,85.62,0.02,98,7.67,33.32,4.03,29.29,0.83,0.07,-0.04,0.78,0.75,-0.17,1.94,1.07,1.43,4.44,0.21,0.19
163,63.4,0.02,98,21.96,31.52,5.52,26.0,0.56,0.27,0.86,0.51,-0.26,0.66,2.02,1.41,1.93,5.36,0.08,0.19
164,82.89,0.04,96,6.98,44.79,4.42,40.38,0.82,0.08,-0.12,0.78,0.82,-0.26,2.12,1.43,1.47,5.01,0.44,1.77
165,89.24,0.01,99,6.58,30.87,3.7,27.17,0.52,0.36,1.83,0.49,-0.29,0.56,2.48,1.81,2.22,6.52,0.13,0.23
166,75.41,0.01,99,15.37,40.16,3.92,36.24,0.59,0.06,-0.04,0.49,0.06,-0.06,2.36,1.83,1.92,6.11,0.32,0.41
167,43.68,0.02,98,34.63,36.54,7.56,28.98,0.01,0.98,2.79,0.08,-2.07,2.55,3.39,2.78,3.46,9.62,0.2,0.33
168,88.03,0.02,98,6.12,29.83,3.83,26.0,0.51,0.23,0.34,0.45,-0.28,0.42,2.15,1.42,1.82,5.39,0.08,0.36
169,57.67,0.01,99,26.67,36.66,7.73,28.93,0.52,0.21,0.4,0.44,-0.35,0.51,1.96,1.32,1.96,5.24,0.19,0.29
170,75.02,0.0,100,16.74,34.06,3.75,30.3,0.64,0.16,0.33,0.56,0.01,0.32,1.77,1.12,1.72,4.61,0.22,0.22
171,71.05,0.04,96,14.75,35.59,6.28,29.31,0.11,0.83,3.16,0.14,-1.8,1.98,3.21,2.57,3.31,9.09,0.21,0.41
172,50.67,0.0,100,32.08,37.11,6.91,30.2,0.7,0.19,0.27,0.68,0.45,0.04,2.5,1.74,1.93,6.17,0.22,0.33
173,71.43,0.01,99,17.91,34.0,5.82,28.18,0.88,0.09,-0.2,0.86,1.07,-0.4,2.36,1.24,1.34,4.95,0.17,0.31
