episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
137,65.79,0.0,100,15.29,6393.76,5.42,6388.34,-1.22,4.32,3.84,-0.79,-1.36,1.03,2.91,2.24,1.71,0.46,0.56,0.14
138,71.06,0.0,100,8.74,6395.61,4.89,6390.72,-0.46,1.13,1.89,-0.24,-0.47,0.14,2.53,1.9,2.41,0.46,0.4,0.13
139,55.88,0.0,100,25.8,6449.91,6.65,6443.26,-1.35,4.77,5.12,-0.88,-1.47,1.01,3.0,2.37,1.96,0.49,0.6,0.14
140,56.21,0.01,99,23.81,6597.59,5.73,6591.86,-0.78,2.18,1.98,-0.45,-0.65,0.56,2.74,2.37,2.12,0.48,0.48,0.14
141,57.62,0.03,97,17.56,6594.41,5.93,6588.47,-0.88,2.91,2.5,-0.55,-0.98,0.7,2.96,2.37,1.98,0.49,0.38,0.13
142,64.79,0.01,99,14.41,6538.86,6.08,6532.79,-0.34,0.53,0.55,-0.13,-0.23,0.07,2.57,1.97,2.33,0.46,0.46,0.13
143,62.03,0.0,100,18.69,6768.02,6.95,6761.08,-1.03,3.42,2.82,-0.63,-1.04,0.79,2.9,2.31,1.97,0.48,0.38,0.13
144,63.96,0.0,100,16.04,6730.32,5.08,6725.24,-0.66,1.77,1.28,-0.36,-0.54,0.46,2.89,2.27,2.07,0.48,0.45,0.83
145,70.85,0.02,98,3.04,6680.05,2.13,6677.92,-1.36,4.88,4.61,-0.88,-1.47,1.14,3.0,2.35,1.87,0.48,0.6,0.14
146,53.82,0.0,100,28.7,6797.74,5.4,6792.34,-0.43,1.18,1.28,-0.23,-0.54,0.28,2.69,2.19,2.38,0.48,0.4,0.14
147,61.24,0.02,98,16.12,6848.14,5.02,6843.12,-0.82,2.65,2.52,-0.5,-0.92,0.63,2.7,2.07,2.26,0.47,0.42,0.13
148,71.01,0.01,99,5.7,6834.14,3.11,6831.03,0.03,-0.58,-0.06,0.11,-0.06,-0.17,2.33,1.82,2.91,0.47,0.61,0.14
149,60.26,0.0,100,21.42,7018.08,4.75,7013.32,-0.57,1.76,1.96,-0.32,-0.69,0.45,2.65,2.1,2.31,0.47,0.46,0.12
150,66.87,0.0,100,14.44,7031.08,4.83,7026.26,-0.62,1.83,2.03,-0.35,-0.66,0.45,2.51,1.91,2.32,0.45,0.39,0.13
151,61.93,0.0,100,19.27,7040.42,5.5,7034.92,-0.11,-0.36,0.02,0.02,-0.02,-0.16,2.72,2.01,2.34,0.47,0.56,0.13
152,65.25,0.0,100,13.96,7025.03,5.63,7019.4,-1.5,5.42,4.89,-0.97,-1.6,1.3,3.1,2.43,1.81,0.49,0.63,0.12
153,55.55,0.02,98,24.98,7246.89,6.99,7239.9,-0.04,-0.52,0.02,0.05,-0.07,-0.07,2.28,1.7,2.69,0.44,0.55,0.13
154,57.46,0.0,100,24.82,7275.5,6.01,7269.48,-0.73,1.96,1.92,-0.4,-0.59,0.31,2.73,2.15,2.21,0.47,0.46,0.14
155,57.68,0.01,99,22.11,7343.92,7.15,7336.77,-0.51,1.34,1.08,-0.27,-0.55,0.27,2.82,2.2,2.17,0.48,0.34,0.13
156,65.24,0.02,98,9.22,7296.6,3.48,7293.12,-0.98,2.9,2.33,-0.57,-0.79,0.72,3.08,2.48,1.9,0.5,0.55,0.12
157,65.79,0.02,98,9.29,7407.6,5.15,7402.45,-1.26,4.34,3.14,-0.77,-1.25,0.93,3.15,2.43,1.69,0.48,0.47,0.12
158,51.39,0.01,99,30.71,7355.69,7.4,7348.28,-0.53,1.4,1.75,-0.28,-0.51,0.26,2.7,2.09,2.26,0.47,0.33,0.13
159,52.07,0.02,98,27.27,7396.37,6.8,7389.57,-0.62,1.65,1.33,-0.33,-0.5,0.38,2.76,2.24,2.19,0.48,0.4,0.13
160,65.06,0.01,99,12,7457.68,4.79,7452.89,-0.97,3.17,2.87,-0.61,-1.01,0.76,2.91,2.36,2.09,0.49,0.37,0.13
161,62.62,0.01,99,15.18,7442.29,5.77,7436.53,-1.34,4.81,4.5,-0.85,-1.45,1.08,3.03,2.36,1.95,0.49,0.59,0.15
162,68.5,0.0,100,10.36,7569.81,5.15,7564.66,-1.11,3.44,3.47,-0.68,-0.95,0.53,3.11,2.39,1.72,0.48,0.52,0.13
163,61.31,0.02,98,15.47,7706.27,5.12,7701.14,-0.9,2.97,2.16,-0.54,-0.96,0.97,2.84,2.17,2.16,0.48,0.39,0.12
164,71.78,0.01,99,5.95,7488.49,3.83,7484.67,-0.28,0.45,0.95,-0.12,-0.3,0.12,2.48,1.85,2.43,0.45,0.45,1.47
